27
2.04993 568.958 20.0
2.04895 460.59 20.0
2.19084 453.974 20.0
2.44295 447.356 20.0
2.94716 438.627 20.0
3.67197 429.835 20.0
4.61737 421.074 20.0
5.49974 412.313 20.0
6.60271 401.409 20.0
7.5166 392.585 20.0
8.61957 381.65 20.0
9.72253 370.683 20.0
10.8885 359.716 20.0
11.5503 350.955 20.0
12.086 342.257 20.0
12.3696 333.433 20.0
12.3696 324.641 20.0
12.3381 313.673 20.0
12.3066 300.438 20.0
12.3334 296.037 20.0
12.3394 197.106 20.0
12.339 -197.107 20.0
10.9174 -212.207 20.0
5.87524 -228.846 20.0
0.833081 -243.972 20.0
-3.20065 -264.141 20.0
-3.20065 -316.075 20.0
